name,group,room,building
Jorge Lobo,AI&ML: Artificial Intelligence and Machine Learning ,55110,
Marco Jerome Gasparrini,AI&ML: Artificial Intelligence and Machine Learning ,55130,
Vicente Gomez Cerda,AI&ML: Artificial Intelligence and Machine Learning ,55130,
Anders Jonsson,AI&ML: Artificial Intelligence and Machine Learning ,55130,
Gergely Neu,AI&ML: Artificial Intelligence and Machine Learning ,55130,
Marti Sanchez Fibla,AI&ML: Artificial Intelligence and Machine Learning ,55130,
Victor Dalmau Lloret,AI&ML: Artificial Intelligence and Machine Learning ,55200,
Vladimir Estivill Castro,AI&ML: Artificial Intelligence and Machine Learning ,55201,
Pablo Aragon Asenjo,AI&ML: Artificial Intelligence and Machine Learning ,55210,
Joan Bas Serrano,AI&ML: Artificial Intelligence and Machine Learning ,55210,
Silvia Butti,AI&ML: Artificial Intelligence and Machine Learning ,55215,
Iuliia Olkhovskaia,AI&ML: Artificial Intelligence and Machine Learning ,55217,
Nicolas Gaston Rozado,AI&ML: Artificial Intelligence and Machine Learning ,55217,
Lorenzo Steccanella,AI&ML: Artificial Intelligence and Machine Learning ,55217,
Damien Allonsius,AI&ML: Artificial Intelligence and Machine Learning ,55219,
Berkay Demirel,AI&ML: Artificial Intelligence and Machine Learning ,55219,
Ana Gonzalez Suarez,BERG Biomedical Electronics Research ,51008,Edifici La Nau
Javier Aguirre Olcoz,BERG Biomedical Electronics Research ,51014,Edifici La Nau
Quim Castellvi,BERG Biomedical Electronics Research ,51014,Edifici La Nau
Albert Comerma Montells,BERG Biomedical Electronics Research ,51014,Edifici La Nau
Tomás Garcia Sanchez,BERG Biomedical Electronics Research ,51014,Edifici La Nau
Aracelys Garcia Moreno,BERG Biomedical Electronics Research ,51015,Edifici La Nau
Laura Becerra Fajardo,BERG Biomedical Electronics Research ,51017,Edifici La Nau
Ahmed Fayez Saad Mohamed Eladly Eladly,BERG Biomedical Electronics Research ,51017,Edifici La Nau
Borja Mercadal Cavaller,BERG Biomedical Electronics Research ,51017,Edifici La Nau
Jesus Minguillon Campos,BERG Biomedical Electronics Research ,51017,Edifici La Nau
Marc Tudela Pi,BERG Biomedical Electronics Research ,51017,Edifici La Nau
Guillermo Jimenez Perez,BERG Biomedical Electronics Research ,55119,
Rocio Lopez Velazco,BERG Biomedical Electronics Research ,55119,
Enric Perera I Bel,BERG Biomedical Electronics Research ,55119,
Antonio Ivorra Cano,BERG Biomedical Electronics Research ,51017,Edifici La Nau
Xerxes Dinyar Arsiwalla,CMTECH: Cognitive Media Technologies ,51100,Edifici La Nau
Riccardo Zucca,CMTECH: Cognitive Media Technologies ,51100,Edifici La Nau
Ciera Crowell,CMTECH: Cognitive Media Technologies ,51107,Edifici La Nau
Laura Malinverni,CMTECH: Cognitive Media Technologies ,51107,Edifici La Nau
Joan Mora Guiard,CMTECH: Cognitive Media Technologies ,51107,Edifici La Nau
Marie-monique Schaper,CMTECH: Cognitive Media Technologies ,51107,Edifici La Nau
Decky Latif,CMTECH: Cognitive Media Technologies ,55108,
Oriol Martinez Pujol,CMTECH: Cognitive Media Technologies ,55108,
Xavier Binefa Valls,CMTECH: Cognitive Media Technologies ,55122,
Adriana Fernandez Lopez,CMTECH: Cognitive Media Technologies ,55124,
Gerald Hahn,CMTECH: Cognitive Media Technologies ,55124,
Maria De Araceli Morales Muñoz,CMTECH: Cognitive Media Technologies ,55124,
Federico Mateo Sukno,CMTECH: Cognitive Media Technologies ,55124,
Narcis Pares Burgues,CMTECH: Cognitive Media Technologies ,55220,
Batuhan Sayis,CMTECH: Cognitive Media Technologies  /MTG: Music Technology ,55312,
Ernest Montbrió Fairen,Computational Neuroscience,55422,
Marcelo José Bertalmio Barate,IP4EC Image processing for enhanced cinematography,55203,
Trevor Dalton Canham,IP4EC Image processing for enhanced cinematography,55205,
Praveen Cyriac,IP4EC Image processing for enhanced cinematography,55205,
Raquel Gil Rodriguez,IP4EC Image processing for enhanced cinematography,55205,
Alexander Gomez Villa,IP4EC Image processing for enhanced cinematography,55205,
Itziar Zabaleta Razquin,IP4EC Image processing for enhanced cinematography,55205,
Adrian Martin Fernandez,IP4EC Image processing for enhanced cinematography,55221,
Adrià Arbues Sangüesa,IPG: Image Processing ,55116,
Adrian Fernando Ponce Alvarez,IPG: Image Processing ,55116,
Patricia Vitoria Carrera,IPG: Image Processing ,55116,
Coloma Maria Ballester Nicolau,IPG: Image Processing ,55118,
Gloria Haro Ortega,IPG: Image Processing ,55118,
Lara Raad Cisa,IPG: Image Processing ,55120,
Juan Francisco Garamendi Bragado,IPG: Image Processing ,55424,
Juan Felipe Montesinos Garcia,IPG: Image Processing  /MTG: Music Technology ,55120,
Venkatesh Shenoy Kadandale,IPG: Image Processing / MTG: Music Technology ,55120,
Olga Slizovskaia,IPG: Image Processing / MTG: Music Technology ,55120,
Josep Font Segura,ITC: Information Theory and Coding ,55204,
Alfonso Martinez Vicente,ITC: Information Theory and Coding ,55204,
Ivano Colombaro,ITC: Information Theory and Coding ,55206,
Arezou Rezazadeh,ITC: Information Theory and Coding ,55206,
Sergio Barrachina Muñoz,ITC: Information Theory and Coding ,55208,
Albert Guillen Fabregas,ITC: Information Theory and Coding ,55222,
Sebastián Roberto Marichal Baraibar,ITG: Interactive Technologies ,55102,
Javier Agenjo Asensio,ITG: Interactive Technologies ,55112,
Irum Baseer,ITG: Interactive Technologies ,55112,
Maria Bosser Carenys,ITG: Interactive Technologies ,55112,
Beatriz Cabrero Daniel,ITG: Interactive Technologies ,55112,
Joaquim Colas Alvarez,ITG: Interactive Technologies ,55112,
Ricardo Jorge Marques,ITG: Interactive Technologies ,55112,
Judit Martínez Moreno,ITG: Interactive Technologies ,55112,
Hermann Plass Portulas,ITG: Interactive Technologies ,55112,
Jose Angel Blat Gimeno,ITG: Interactive Technologies ,55126,
Philip Tovstogan,MTG: Music Technology ,55300,
Mehmet Furkan Yesiler,MTG: Music Technology ,55301,
Rafael Caro Repetto,MTG: Music Technology ,55302,
Vsevolod Eremenko,MTG: Music Technology ,55302,
Ninad Puranik,MTG: Music Technology ,55302,
António Filipe Santana Ramires,MTG: Music Technology ,55302,
Tiange Zhu,MTG: Music Technology ,55302,
David Cabrera,MTG: Music Technology ,55305,
Albin Andrew Correya,MTG: Music Technology ,55306,
Xavier Favory,MTG: Music Technology ,55306,
Andres Ferraro,MTG: Music Technology ,55306,
Eduardo David Fonseca Montero,MTG: Music Technology ,55306,
Frederic Font Corbera,MTG: Music Technology ,55306,
Sergio Oramas Martin,MTG: Music Technology ,55306,
Alastair Stewart Porter,MTG: Music Technology ,55306,
Pablo Alonso Jimenez,MTG: Music Technology ,55308,
